,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_LC,Inscritos,%_Média_Presença,NU_NOTA_REDACAO,Media_Nota_Geral,Inscritos_Representacao,SG_UF_PROVA,codigo_ibge
54,DRACENA,506.5084087968952,571.4373868046572,531.3226506024097,521.1998795180723,1126.0,71.18,648.1773399014778,555.7291331247023,0.22,SP,3514403
55,ELDORADO,466.1541666666667,497.24895833333335,502.4050505050505,486.99696969696964,170.0,57.355000000000004,592.2105263157895,509.0031343035619,0.03,SP,3514809
56,EMBU DAS ARTES,481.43343615052436,523.5684762492289,523.1338345864662,510.86136495083866,2640.0,63.44499999999999,602.432915921288,528.2860055716692,0.52,SP,3515004
57,EMBU-GUAÇU,486.69374999999997,535.111677631579,523.5121306376361,513.1349922239502,904.0,69.195,598.6451612903226,531.4195423566975,0.18,SP,3515103
58,ESPÍRITO SANTO DO PINHAL,514.3679190751445,575.9063583815029,544.6822404371585,524.8622950819672,460.0,77.395,664.8219178082192,564.9281461567983,0.09,SP,3515186
59,FERNANDÓPOLIS,505.0261988304094,562.9571929824561,520.9498331479422,517.2606229143493,1212.0,72.355,661.9047619047619,553.6197219559838,0.24,SP,3515509
60,FERRAZ DE VASCONCELOS,481.8341700404858,523.893927125506,519.4469742813918,507.89167927382755,2087.0,61.260000000000005,607.1981424148606,528.0529786272143,0.41,SP,3515707
61,FRANCA,511.8802825552825,572.0936425061425,541.1636603221083,526.3787994143485,4843.0,68.87,683.4265103697024,566.9885790335169,0.95,SP,3516200
62,FRANCISCO MORATO,480.8251748251748,519.0621212121212,520.8360566448802,505.20969498910677,1473.0,60.285,589.2359550561798,523.0338005454926,0.29,SP,3516309
63,FRANCO DA ROCHA,485.2235582822086,522.4653987730061,526.9049255441008,513.7343642611684,1392.0,60.635,602.71546635183,530.2087426424628,0.27,SP,3516408
64,GARÇA,497.66410256410256,548.7605128205129,521.7077858880779,511.91678832116787,520.0,77.02000000000001,653.7655860349128,546.7629551257548,0.1,SP,3516705
65,GUARARAPES,505.47781249999997,564.60375,537.7059171597633,525.7307692307693,423.0,77.78,657.4153846153846,558.1867267011835,0.08,SP,3518206
66,GUARATINGUETÁ,530.1203278688524,593.171256830601,562.464,543.8866666666667,1288.0,73.37,660.9166666666666,578.1117836065573,0.25,SP,3518404
67,GUARUJÁ,493.1670294494238,538.78847631242,526.6257244234181,513.7063276167949,2552.0,63.735,613.3862111043319,537.1347537812777,0.5,SP,3518701
